TextRegion ID,TextLine ID,TextRegion Coords,TextEquiv Text
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,line_5e9b1f43-4752-4eeb-91eb-474a9f88910a,"479,327 517,362 577,367 778,355 857,367 980,366 1081,379 1845,378 1857,390 1954,389 1954,451 1913,452 1873,487 1733,479 1717,488 1681,483 1665,492 1613,492 1536,479 1513,488 1448,481 1203,488 1185,473 1154,483 1110,483 1097,492 1056,481 1030,492 953,480 933,488 882,488 733,484 705,471 633,472 545,480 479,539",29 3)  ee  oproog
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,line_652c0352-0d6a-4ea4-aa7d-b2467d1d48dc,"824,486 877,483 886,490 905,483 994,482 1011,490 1018,483 1062,482 1087,498 1109,483 1137,486 1186,474 1202,487 1282,482 1291,490 1298,483 1332,483 1346,491 1366,483 1449,482 1470,494 1552,478 1564,490 1662,495 1678,483 1719,490 1738,478 1758,478 1766,486 1883,486 1918,451 1967,451 1998,474 2023,475 2023,538 1967,591 1590,590 1538,566 1390,571 1347,535 1226,535 1172,547 1138,546 1127,535 1064,535 1044,542 1033,535 999,543 949,591 906,595 888,586 824,586",vl ) not 11Le dat. C1. Lpn. to Tstuand
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,abaabea0-b10d-4fa6-8824-2fd79d91f37a,"470,531 504,519 786,523 852,587 883,584 900,592 948,592 1002,540 1125,536 1147,548 1188,539 1204,544 1220,536 1345,536 1392,572 1540,567 1592,591 1884,591 1897,584 1916,595 1941,595 1941,657 1863,676 1848,675 1832,659 1788,651 1737,675 1719,659 1677,656 1657,668 1480,668 1452,696 1420,691 1411,700 1372,696 1362,688 1353,696 1317,699 1294,688 1252,699 1207,688 1177,704 1150,689 1104,688 1097,695 1051,691 1031,708 987,691 940,695 928,687 820,687 800,667 769,672 747,656 572,647 485,727 470,728",25 1834 korne voor de korte-ook-ts mat pl.)
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,line_97923f00-d591-47c2-9e17-2e89a14bc545,"641,653 703,653 724,661 774,649 791,662 813,666 831,684 905,692 924,685 940,695 952,689 1022,701 1126,688 1178,705 1194,689 1214,685 1230,693 1297,689 1310,697 1337,689 1346,696 1363,689 1373,698 1403,692 1413,697 1429,689 1451,696 1511,645 1534,657 1614,657 1654,666 1697,653 1737,653 1757,666 1793,649 1829,657 1849,676 1913,668 1941,693 2022,693 2022,754 2005,754 1957,789 1909,793 1745,780 1522,785 1468,808 1457,808 1445,796 1390,792 1378,784 1354,784 1338,797 1308,800 1286,793 1274,803 1222,792 1190,793 1183,800 1081,792 937,800 914,792 907,797 881,789 811,788 799,780 755,781 735,768 641,769",2936 Parue voor 20 kark- oos. 12und 1023 no4
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,e56184fb-d763-4303-8d2b-814997047e01,"643,772 739,770 749,780 798,781 813,792 945,793 966,800 1077,792 1185,800 1199,791 1209,796 1224,790 1236,800 1273,804 1286,793 1310,800 1339,797 1355,784 1379,784 1387,792 1451,793 1466,808 1543,785 1794,780 1802,788 1910,793 1975,781 1986,790 2023,790 2023,853 1979,896 1966,896 1946,892 1911,857 1834,865 1667,864 1599,860 1590,852 1495,849 1455,857 1363,853 1341,869 1322,864 1299,845 1276,849 1257,841 1227,841 1211,857 1186,841 1143,841 1112,853 1090,841 1039,841 1008,853 964,848 957,841 813,841 805,849 757,853 643,848",1938 Torug voor 30 nopp-bot. 11 malvl ) not
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,d6dd073b-dc3c-4754-bd31-c7aaf2362cf9,"827,841 899,845 953,838 964,849 1008,854 1034,833 1052,846 1091,842 1104,850 1180,836 1212,857 1227,842 1256,838 1279,850 1298,845 1333,868 1359,869 1392,839 1392,901 1383,891 1343,895 1336,902 1300,895 1276,902 1188,895 1165,905 1140,895 1032,898 1020,906 981,895 957,895 950,902 931,895 907,902 896,895 827,895",TIlo Bat. CL. Tpn.
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,line_55a05591-53e2-4243-a61d-f39957a11e12,"814,893 893,893 903,901 972,893 992,904 1020,906 1044,896 1149,897 1172,909 1198,905 1214,912 1248,897 1271,909 1283,897 1336,901 1344,893 1368,893 1408,857 1419,862 1508,850 1559,866 1835,866 1847,854 1875,853 1911,857 1947,892 2024,896 2024,958 1995,958 1979,973 1919,972 1909,964 1623,965 1527,977 1380,981 1352,980 1304,949 1294,956 1257,946 1228,946 1213,961 1184,946 1164,953 1144,946 1108,964 1091,949 1058,949 1051,942 1005,954 962,953 955,946 814,946","Zords voor 46 hern. oof, 12 und lvl ) het"
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,e23c252b-eef7-466e-8127-df9f2151840e,"636,873 825,873 862,881 862,944 801,947 765,962 674,961 636,949",1939
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,line_9b034fb8-9dab-42c9-a2b9-04dcff3f33e3,"582,985 728,982 740,970 764,970 804,946 868,942 992,954 1051,942 1063,950 1091,949 1107,965 1143,946 1161,953 1184,946 1211,961 1227,946 1256,946 1271,953 1286,949 1294,957 1303,949 1344,973 1682,989 1734,985 1752,997 1777,989 1862,998 1903,994 1938,973 1978,973 1994,986 2019,983 2019,1045 2010,1050 1958,1046 1910,1081 1718,1080 1691,1104 1674,1097 1659,1108 1624,1097 1616,1105 1598,1097 1467,1097 1414,1100 1396,1108 1326,1100 1227,1108 1214,1097 1159,1097 1140,1104 1131,1097 1108,1104 1096,1097 1046,1097 1019,1112 1007,1104 989,1109 956,1093 944,1104 887,1097 808,1101 784,1080 631,1084 582,1093",5. 1940 Loyng voor 30 Korn. o0f. 12 mnd 102 ) no4
region_7ed0d250-9854-4625-9fe1-644d3909f3b3,line_648fd9f4-01bc-4618-ba63-e9ae28fba70c,"466,1071 477,1067 496,1079 625,1075 640,1083 768,1078 800,1094 893,1098 914,1106 945,1102 957,1091 989,1110 1023,1110 1048,1095 1055,1102 1131,1098 1139,1106 1216,1098 1228,1109 1251,1098 1396,1106 1575,1096 1651,1109 1694,1102 1720,1082 1872,1078 1903,1078 1945,1102 1945,1164 1925,1178 1808,1170 1784,1155 1532,1155 1475,1206 1372,1205 1363,1213 1330,1206 1313,1213 1269,1205 1235,1213 1222,1201 1104,1201 1072,1202 1048,1213 987,1197 956,1198 944,1210 900,1205 893,1198 865,1205 812,1201 804,1193 780,1193 756,1174 668,1174 648,1162 536,1163 485,1213 466,1221",22- 12- 1941 vorug ul) algamone nontIloatto v2s
