TextRegion ID,TextLine ID,TextRegion Coords,TextEquiv Text
ee238097-7f1e-4f84-b12b-9cd4d43f0d4b,line_5b639c9a-098b-4d6e-a316-651f7c37b3d8,"857,455 971,459 983,471 1015,471 1023,478 1119,478 1154,510 1165,517 1172,512 1172,564 1166,557 1065,561 1057,553 1023,553 1006,561 982,550 943,562 877,561 857,553",18898
ee238097-7f1e-4f84-b12b-9cd4d43f0d4b,d613a07e-b7cf-41a8-a85d-39bbb6e178fa,"845,612 911,612 927,624 1014,629 1034,609 1063,608 1063,659 845,672",Door-
ee238097-7f1e-4f84-b12b-9cd4d43f0d4b,line_2d4d15ab-24c6-4ae4-bd90-2f83174d143f,"828,677 1020,681 1032,693 1072,690 1072,740 945,738 933,746 866,746 828,781",lloopende
ee238097-7f1e-4f84-b12b-9cd4d43f0d4b,bfbcd898-87a8-43dc-a849-1c2dc2b50022,"825,776 839,773 867,745 934,745 942,737 1073,737 1098,762 1098,814 1065,840 867,840 840,813 825,826",nummers.
d9b1af90-0059-4d63-82f3-d595e7af9f2a,line_84d968a8-c368-4f3e-84fe-c249ae96c613,"1117,974 1163,974 1175,986 1268,992 1268,1043 1117,1043",SCRTnst
d9b1af90-0059-4d63-82f3-d595e7af9f2a,e1f0efe1-0b45-468e-b884-0a889339c1bb,"1121,1061 1290,1064 1288,1118 1121,1118",noor is
b3bd66f2-3683-4234-b38a-8643e12f5e1a,line_85d2f256-c055-46c6-b5e0-f21e4790f726,"817,1447 839,1436 1079,1436 1131,1488 1156,1488 1171,1503 1199,1504 1211,1516 1287,1511 1308,1517 1308,1568 1276,1592 1135,1589 1078,1643 879,1643 851,1615 817,1616",351215 91564
region_981422e7-b86e-4485-bfb8-bb20de8a4982,e507c514-1213-4b33-ba0f-478ffd587ad6,"1326,997 1365,993 1384,1012 1448,1014 1448,1065 1368,1066 1342,1059 1326,1064",H e
region_981422e7-b86e-4485-bfb8-bb20de8a4982,b71e90c1-4f70-4cb0-a32b-bf65496690ae,"1301,1072 1339,1072 1366,1061 1393,1086 1413,1086 1413,1137 1365,1177 1301,1177",A
region_380733b6-a024-4fff-a843-a831c6dd3168,line_1f4496cb-2b2d-4a13-b2b9-84a5315e4790,"1521,999 1580,999 1599,1018 1616,1018 1616,1069 1587,1069 1579,1076 1521,1072",2
